證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"2030","彰源","513605","9429904","18.40","18.45","18.30","18.35","-0.1500","295"
"2031","新光鋼","603704","36058845","59.60","60.20","59.00","60.00","0.4000","476"
"2032","新鋼","119199","2050360","17.10","17.30","17.10","17.25","0.0500","78"
"2033","佳大","100393","1601982","16.00","16.10","15.80","16.05","-0.0500","66"
"2034","允強","323560","8216343","25.25","25.55","25.25","25.35","-0.1000","240"
"2038","海光","925824","18808954","20.40","20.50","20.05","20.40","-0.1000","807"
"2049","上銀","1996708","450791167","229.50","229.50","224.50","225.00","-5.0000","2595"
"2059","川湖","613866","794559240","1275.00","1320.00","1275.00","1275.00","-10.0000","1182"
"2062","橋椿","370835","11039221","29.50","30.05","29.35","29.90","0.2500","300"
"2069","運錩","100346","1644831","16.45","16.45","16.30","16.40","-0.0500","55"
"2101","南港","7269710","404961890","55.10","56.40","54.80","56.30","0.7000","3972"
"2102","泰豐","395082","7911416","19.85","20.20","19.75","20.05","0.3000","247"
"2103","台橡","1332354","31749497","23.90","23.90","23.75","23.85","-0.1500","652"
"2104","國際中橡","1782931","31101122","17.60","17.60","17.35","17.40","-0.2500","998"
"2105","正新","23048765","1347794237","58.90","59.10","57.70","58.70","0.2000","11360"
"2106","建大","831488","28168241","33.95","34.15","33.60","34.00","-0.1500","971"
"2107","厚生","425777","11140325","26.15","26.30","26.00","26.30","0.0500","288"
"2108","南帝","205905","6994406","33.95","34.15","33.85","34.15","0.1500","194"
"2109","華豐","798976","14405785","18.05","18.20","17.75","18.10","-0.1000","665"
"2114","鑫永銓","98159","10762042","109.00","110.00","109.00","110.00","1.0000","144"
"2115","六暉-KY","36958","1192670","32.05","32.50","32.05","32.40","0.1500","44"
"2201","裕隆","3524324","247872419","69.80","71.30","69.40","70.90","0.4000","2670"
"2204","中華","3440055","422618384","119.00","124.50","119.00","124.00","4.5000","2837"
"2206","三陽工業","10217300","787560336","75.30","78.20","75.20","78.20","2.1000","6306"
