證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"2867","三商壽","53300668","417854751","7.57","7.98","7.57","7.82","0.2900","10230"
"2880","華南金","12929378","325876634","25.10","25.35","25.00","25.10","-0.1000","5126"
"2881","富邦金","26524832","2051415262","77.50","77.80","76.70","77.30","1.3000","12499"
"2881A","富邦特","128563","8087355","63.00","63.00","62.80","62.90","-0.1000","43"
"2881B","富邦金乙特","5346","317643","59.50","59.50","59.50","59.50","0.0000","31"
"2881C","富邦金丙特","30925","1661962","53.80","53.90","53.70","53.80","0.0000","90"
"2882","國泰金","50679729","2986959687","58.80","59.70","58.30","58.70","0.5000","22242"
"2882A","國泰特","87593","5325791","60.80","60.90","60.80","60.80","0.0000","33"
"2882B","國泰金乙特","237646","13983671","59.00","59.10","58.80","59.10","0.0000","56"
"2883","開發金","176741072","2771746787","15.40","15.90","15.30","15.75","0.3500","32125"
"2883B","開發金乙特","4762969","35723982","7.55","7.55","7.47","7.50","-0.0300","417"
"2884","玉山金","22485534","645624466","28.60","28.90","28.50","28.60","-0.3500","12681"
"2885","元大金","15545674","494691872","32.00","32.15","31.55","31.60","-0.2000","6049"
"2886","兆豐金","22605220","888594220","39.10","39.45","39.10","39.20","-0.1500","9788"
"2887","台新金","20465336","382871990","18.60","18.80","18.55","18.65","-0.1500","6306"
"2887E","台新戊特","65561","3453904","52.60","52.80","52.60","52.80","0.3000","32"
"2887F","台新戊特二","3243","153344","47.35","47.35","47.20","47.20","-0.1500","8"
"2887Z1","台新己特","1212","20299","16.75","16.75","16.75","16.75","-0.1000","5"
"2888","新光金","128657021","1243241548","9.80","9.81","9.55","9.60","-0.1300","18034"
"2888A","新光金甲特","64996","1943990","30.05","30.05","29.80","29.85","-0.3000","50"
"2888B","新光金乙特","46675","1404274","30.15","30.15","29.90","29.90","-0.2500","30"
"2889","國票金","32124733","500847147","15.55","15.75","15.40","15.50","-0.0500","4791"
"2890","永豐金","22933337","542296030","23.25","23.90","23.10","23.60","0.1000","6966"
"2891","中信金","75373809","2793124895","36.80","37.30","36.70","37.10","-0.1000","17847"
"2891B","中信金乙特","29841","1794664","60.10","60.30","60.00","60.30","0.1000","81"
"2891C","中信金丙特","4514","264712","58.70","58.80","58.30","58.80","0.0000","37"
"2892","第一金","16115772","448848600","27.65","28.00","27.60","27.80","0.0000","6309"
"2897","王道銀行","9119315","97864768","10.75","10.80","10.65","10.70","-0.0500","1292"
"2897A","王道銀甲特","182000","1929650","10.60","10.65","10.60","10.60","0.0000","31"
"2901","欣欣","8971","247377","27.80","27.80","27.35","27.65","0.3000","106"
"2903","遠百","4836477","160024817","32.80","33.45","32.55","32.95","0.3500","2493"
"2904","匯僑","166897","3274542","19.90","19.90","19.35","19.55","0.0000","198"
"2905","三商","2019828","36124997","18.05","18.30","17.60","17.70","-0.3000","1151"
"2906","高林","505755","10552860","20.80","20.95","20.75","20.85","0.0000","264"
"2908","特力","687421","14756600","21.10","22.50","20.90","21.65","0.7000","383"
"2910","統領","16000","435650","27.70","27.70","27.15","27.40","0.0000","11"
"2911","麗嬰房","183701","1290654","7.06","7.09","7.00","7.09","0.0300","300"
"2912","統一超","890915","241624433","270.50","273.00","270.50","270.50","-3.0000","2799"
"2913","農林","3186927","68164706","21.40","21.70","21.15","21.20","-0.1000","1425"
"2915","潤泰全","7846119","555137901","72.40","72.50","69.30","69.50","-2.4000","10353"
"2923","鼎固-KY","60032","1704270","28.75","28.95","27.75","28.55","-1.0500","105"
"2929","淘帝-KY","401965","3717457","9.41","9.41","9.17","9.17","-0.2400","209"
"2939","凱羿-KY","38501","969700","24.90","25.30","24.90","25.30","0.1500","36"
"2945","三商家購","8542","381412","44.90","44.90","44.55","44.55","-0.5000","38"
"3002","歐格","310381","4887121","16.15","16.15","15.55","15.55","-0.5000","185"
"3003","健和興","653502","52384314","81.00","81.50","79.30","79.60","-1.6000","2277"
"3004","豐達科","213574","22030319","105.00","105.00","102.50","102.50","-1.5000","189"
"3005","神基","12738820","1393718043","111.50","112.50","107.50","109.00","-3.5000","6169"
"3006","晶豪科","3132220","291327310","92.60","94.10","91.80","93.80","1.2000","2440"
"3008","大立光","1180055","2664088550","2360.00","2360.00","2215.00","2215.00","-150.0000","10569"
"3010","華立","6011972","793143590","128.50","134.00","128.00","131.00","4.5000","4298"
"3011","今皓","494614","15269259","32.00","32.00","30.50","30.55","-0.5500","274"
"3013","晟銘電","17819548","1617515087","91.80","92.50","89.00","92.00","0.2000","12051"
"3014","聯陽","2632812","453150582","171.50","175.00","170.00","170.50","-1.0000","2224"
"3015","全漢","1289695","86283069","67.40","67.90","66.00","67.00","0.0000","1023"
"3016","嘉晶","719555","44682505","63.00","63.30","61.40","61.60","-2.2000","1641"
"3017","奇鋐","18716056","12354933759","646.00","675.00","643.00","665.00","45.0000","21383"
"3018","隆銘綠能","28087","441676","15.70","15.75","15.70","15.70","0.0000","115"
