src,date,title,url,pic_url
經濟日報 記者吳凱中／台北即時報導,2024-06-03 19:12,AI 三巨頭站台 華碩電腦展 PC、伺服器新品全線出擊,https://money.udn.com/money/story/5612/8007130?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/03/realtime/29755090.jpg&s=Y&x=0&y=92&sw=2500&sh=1667&sl=W&fw=300&exp=3600
經濟日報 記者林薏茹／台北即時報導,2024-06-04 12:16,Computex 開幕／廣達林百里：AI 那麼好玩不能太早退休,https://money.udn.com/money/story/5612/8008626?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/04/realtime/29758018.jpg&s=Y&x=0&y=11&sw=1477&sh=984&sl=W&fw=300&exp=3600
經濟日報 記者蕭君暉/台北即時報導,2024-06-04 12:58,COMPUTEX 開幕／鴻海攜輝達建置台灣先進算力中心 驅動三大智慧平台,https://money.udn.com/money/story/5612/8008719?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/04/realtime/29758148.jpg&s=Y&x=0&y=30&sw=4032&sh=2688&sl=W&fw=300&exp=3600
經濟日報 記者蘇嘉維、尹慧中／新竹即時報導,2024-06-04 10:29,台積電股東會／劉德音：台積今年用電量約全台8％ 但經濟貢獻也同增,https://money.udn.com/money/story/5612/8008214?from=edn_hottestlist_rank,https://udn.com/upf/2017_news/noimg_cid1001_6.jpg
經濟日報 記者蘇嘉維／台北即時報導,2024-06-03 15:53,群聯參展 Computex 將秀 AI、浸潤式 SSD 方案,https://money.udn.com/money/story/5612/8006680?from=edn_hottestlist_rank,https://udn.com/upf/2017_news/noimg_cid1001_2.jpg
經濟日報 記者吳康瑋／台北即時報導,2024-06-04 12:06,基辛格開講 這些大咖都來了 網友喊話：英特爾不能輸！,https://money.udn.com/money/story/5612/8008589?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/04/realtime/29757957.jpg&s=Y&x=0&y=11&sw=1477&sh=984&sl=W&fw=300&exp=3600
經濟日報 記者陳昱翔／台北報導,2024-06-04 00:58,WiFi 7火熱 全新、穩懋利多,https://money.udn.com/money/story/11162/8007480?from=edn_hottestlist_rank,https://udn.com/upf/2017_news/noimg_cid1001_3.jpg
經濟日報 記者蕭君暉/台北即時報導,2024-06-03 19:18,精英處分轉投資公司股權 交易金額人民幣2.27億元,https://money.udn.com/money/story/5612/8007141?from=edn_hottestlist_rank,https://udn.com/upf/2017_news/noimg_cid1001_4.jpg
經濟日報 記者尹慧中、蘇嘉維/新竹即時報導,2024-06-04 10:28,台積電股東會／股東問給世界一段智慧發言 劉德音幽默說：就是買台積電股票,https://money.udn.com/money/story/5612/8008209?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/04/realtime/29757153.jpg&s=Y&x=0&y=30&sw=4032&sh=2688&sl=W&fw=300&exp=3600
經濟日報 記者尹慧中、蘇嘉維/新竹即時報導,2024-06-04 10:25,台積電股東會／劉德音：看 AI 需求比一年前樂觀,https://money.udn.com/money/story/5612/8008201?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/04/realtime/29757128.jpg&s=Y&x=0&y=336&sw=4032&sh=2688&sl=W&fw=300&exp=3600
經濟日報 記者蕭君暉/台北即時報導,2024-06-03 18:10,臺師大與輝達、技嘉打造元宇宙實驗室,https://money.udn.com/money/story/5612/8007020?from=edn_hottestlist_rank,https://udn.com/upf/2017_news/noimg_cid1001_3.jpg
經濟日報 記者吳凱中／台北報導,2024-06-04 02:37,AI PC 華碩搶頭香 要當全球龍頭,https://money.udn.com/money/story/5612/8007635?from=edn_hottestlist_rank,https://udn.com/upf/2017_news/noimg_cid1001_7.jpg
經濟日報 記者鐘惠玲／台北報導,2024-06-04 02:29,COMPUTEX 2024 聯發科推3奈米車用晶片,https://money.udn.com/money/story/5612/8007637?from=edn_hottestlist_rank,https://udn.com/upf/2017_news/noimg_cid1001_8.jpg
經濟日報 記者劉芳妙／台北即時報導,2024-06-03 19:29,圓剛發表最新掌機影像擷取、視訊會議和 AI 邊緣運算解決方案,https://money.udn.com/money/story/5612/8007148?from=edn_hottestlist_rank,https://udn.com/upf/2017_news/noimg_cid1001_5.jpg
經濟日報 記者蕭君暉/台北即時報導,2024-06-03 16:38,奇景 WiseEye 與 NVIDIA 聯手 推進 AI 視覺應用,https://money.udn.com/money/story/5612/8006807?from=edn_hottestlist_rank,https://udn.com/upf/2017_news/noimg_cid1001_1.jpg
經濟日報 記者吳凱中／台北即時報導,2024-06-03 15:42,宏碁 Swift 系列 NB 將搭載全新 AMD Ryzen AI 300 處理器,https://money.udn.com/money/story/5612/8006655?from=edn_hottestlist_rank,https://udn.com/upf/2017_news/noimg_cid1001_0.jpg
經濟日報 記者林薏茹／台北報導,2024-06-04 02:25,英特爾 CEO 宴請供應鏈夥伴 基辛格：台灣是科技業中心,https://money.udn.com/money/story/5612/8007642?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/04/2/29755949.jpg&s=Y&x=0&y=76&sw=1280&sh=853&sl=W&fw=300&exp=3600
經濟日報 記者劉芳妙／台北即時報導,2024-06-03 17:05,光寶攜手夥伴展示 GB200 NVL72 系統 助攻新世代 AI 伺服器生態系,https://money.udn.com/money/story/5612/8006883?from=edn_hottestlist_rank,https://udn.com/upf/2017_news/noimg_cid1001_5.jpg
經濟日報 記者嚴雅芳／台北即時報導,2024-06-03 15:31,全家 Fami!ce × Xpark 聯名第二彈 海鹽檸檬霜淇淋6月5日登場,https://money.udn.com/money/story/5612/8006624?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/03/realtime/29753953.jpg&s=Y&x=0&y=32&sw=4357&sh=2904&sl=W&fw=300&exp=3600
經濟日報 新媒體中心綜合整理,2024-06-04 10:33,影／2024台北國際電腦展 黃仁勳、蘇姿丰、基辛格主題演講彙整,https://money.udn.com/money/story/11162/8008183?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/04/2/29755949.jpg&s=Y&x=0&y=76&sw=1280&sh=853&sl=W&fw=300&exp=3600
經濟日報 記者李珣瑛／台北即時報導,2024-06-04 11:40,廣運攜手宇見智能 秀全球首批 GAI 智慧物流解決方案,https://money.udn.com/money/story/5612/8008492?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/04/realtime/29757584.jpg&s=Y&x=0&y=30&sw=4032&sh=2688&sl=W&fw=300&exp=3600
經濟日報 記者宋健生/台中即時報導,2024-06-04 00:05,全球首座 IKEA 空中花園盛大開幕 打造台中城市綠洲,https://money.udn.com/money/story/5612/8007719?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/04/realtime/29755727.jpg&s=Y&x=0&y=38&sw=5160&sh=3440&sl=W&fw=300&exp=3600
經濟日報 記者蘇嘉維／台北報導,2024-06-04 02:34,安謀架構拚導入千億台裝置 執行長哈斯喊現在是 AI 關鍵時刻,https://money.udn.com/money/story/5612/8007631?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/04/2/29755951.jpg&s=Y&x=216&y=196&sw=947&sh=632&sl=W&fw=300&exp=3600
經濟日報 記者謝柏宏／即時報導,2024-06-03 23:50,亞泥將以81.88元處份4萬張遠傳股票 處份利益6.51億元,https://money.udn.com/money/story/5612/8007700?from=edn_hottestlist_rank,https://udn.com/upf/2017_news/noimg_cid1001_2.jpg
經濟日報 記者鐘惠玲、謝柏宏／台北報導,2024-06-04 02:36,超微來台設研發中心？蘇姿丰：考慮所有選項,https://money.udn.com/money/story/5612/8007640?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/03/realtime/29755590.jpg&s=Y&x=0&y=0&sw=3307&sh=2205&sl=W&fw=300&exp=3600
經濟日報 記者崔馨方／即時報導,2024-06-04 14:19,黃仁勳逛 Palit 攤位喝啤酒超嗨 總經理：跟著輝達一路好！,https://money.udn.com/money/story/5612/8008949?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/04/realtime/29758530.jpg&s=Y&x=0&y=0&sw=1567&sh=1045&sl=W&fw=300&exp=3600
經濟日報 記者宋健生/台中即時報導,2024-06-03 23:48,中部唯一主打前澤牛 ！「羽悦」和牛燒肉店12日開幕,https://money.udn.com/money/story/5612/8007697?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/03/realtime/29755679.jpg&s=Y&x=0&y=27&sw=3818&sh=2544&sl=W&fw=300&exp=3600
經濟日報 記者尹慧中/台北報導,2024-06-03 22:31,台積電進入魏哲家時代 「準備最齊全的CEO」上任後將面對什麼挑戰？,https://money.udn.com/money/story/5612/8007430?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/03/2/29755482.jpg&s=Y&x=0&y=0&sw=1242&sh=828&sl=W&fw=300&exp=3600
經濟日報 記者吳康瑋／台北即時報導,2024-06-04 14:17,輝達先進算力中心落腳點曝光 黃仁勳親點名「這3處」,https://money.udn.com/money/story/5612/8008946?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/04/realtime/29758509.jpg&s=Y&x=0&y=5&sw=726&sh=484&sl=W&fw=300&exp=3600
經濟日報 編譯劉忠勇／綜合外電,2024-06-04 01:32,日經：魏哲家掌台積電 三挑戰,https://money.udn.com/money/story/5612/8007599?from=edn_hottestlist_rank,https://udn.com/upf/2017_news/noimg_cid1001_8.jpg
經濟日報 記者黃淑惠、彭慧明／台北報導,2024-06-04 01:09,裕民股東會徐旭東獨子首秀 說明船舶擴建計畫,https://money.udn.com/money/story/10871/8007564?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/04/2/29755884.jpg&s=Y&x=260&y=316&sw=476&sh=317&sl=W&fw=300&exp=3600
經濟日報 記者李珣瑛／台北即時報導,2024-06-04 13:45,經濟部攜手明泰、光寶、聯發科推出 O-RAN 基站全產品線,https://money.udn.com/money/story/5612/8008856?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/04/realtime/29758357.jpg&s=Y&x=0&y=30&sw=4032&sh=2688&sl=W&fw=300&exp=3600
經濟日報 記者蔡靜紋／台北即時報導,2024-06-03 17:54,不動產代銷員工平均薪資552萬 大贏科技公司,https://money.udn.com/money/story/5710/8006986?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/17/0/29674740.jpg&s=Y&x=0&y=0&sw=1277&sh=852&sl=W&fw=300&exp=3600
經濟日報 記者馬琬淳∕台北即時報導,2024-06-04 10:59,新光金怎麼了？ 外資、自營商才大進貨 盤中卻重挫逾4%,https://money.udn.com/money/story/5710/8008327?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/29/2/29730599.jpg&s=Y&x=0&y=0&sw=1280&sh=853&sl=W&fw=300&exp=3600
經濟日報 記者盧宏奇／台北即時報導,2024-06-03 18:26,AI PC 問世、需求復甦助攻 法人點名看好這幾檔供應鏈,https://money.udn.com/money/story/5710/8007062?from=edn_hottestlist_rank,https://udn.com/upf/2017_news/noimg_cid1001_4.jpg
