src,pic_url,title,url,date
經濟日報 記者吳康瑋／台北即時報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/11/realtime/29799879.jpg&s=Y&x=0&y=0&sw=718&sh=469&sl=W&fw=300&exp=3600,英業達股東會將至！葉力誠首扛主持棒 最新市況引關注,https://money.udn.com/money/story/5612/8023495?from=edn_hottestlist_rank,2024-06-11 15:49
經濟日報 記者葉卉軒／台北即時報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/11/realtime/29797996.png&s=Y&x=0&y=6&sw=688&sh=458&sl=W&fw=300&exp=3600,萬寶華發布第3季台灣就業展望淨值 能源業就業展望創新低,https://money.udn.com/money/story/5612/8022767?from=edn_hottestlist_rank,2024-06-11 11:43
經濟日報 記者吳康瑋／台北即時報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/11/realtime/29799215.jpg&s=Y&x=0&y=30&sw=4032&sh=2688&sl=W&fw=300&exp=3600,AI 應用推升消費者需求！研調：明年 AI NB 滲透率拚20.4%,https://money.udn.com/money/story/5612/8023264?from=edn_hottestlist_rank,2024-06-11 14:35
經濟日報 記者李珣瑛／新竹即時報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/11/realtime/29799253.jpg&s=Y&x=0&y=0&sw=5406&sh=3604&sl=W&fw=300&exp=3600,東元攜手西門子搶減碳商機 將在台生產無氟潔淨氣體絕緣開關設備,https://money.udn.com/money/story/5612/8023278?from=edn_hottestlist_rank,2024-06-11 14:39
經濟日報 記者黃淑惠／台北即時報導,https://udn.com/upf/2017_news/noimg_cid1001_3.jpg,台航股東會／通過配發現金股利1.6元 董座劉文慶對今年展望相當有信心,https://money.udn.com/money/story/5612/8023059?from=edn_hottestlist_rank,2024-06-11 13:20
經濟日報 記者葉卉軒／台北即時報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/11/realtime/29797492.jpg&s=Y&x=0&y=8&sw=1040&sh=692&sl=W&fw=300&exp=3600,迎接 AI 時代來臨 商研院開設「ChatGPT 應用能力」課程,https://money.udn.com/money/story/5612/8022483?from=edn_hottestlist_rank,2024-06-11 10:20
經濟日報 記者宋健生/台中即時報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/11/realtime/29799838.jpg&s=Y&x=0&y=16&sw=1774&sh=1182&sl=W&fw=300&exp=3600,World Gym 擴大新北市版圖！宣布收購三峽 Real Gym,https://money.udn.com/money/story/5612/8023482?from=edn_hottestlist_rank,2024-06-11 15:46
經濟日報 記者吳秉鍇／高雄即時報導,https://udn.com/upf/2017_news/noimg_cid1001_2.jpg,迎畢業季！ 楠梓科技產業園區釋154個職缺搶徵才,https://money.udn.com/money/story/5612/8023060?from=edn_hottestlist_rank,2024-06-11 13:21
經濟日報 記者楊伶雯／台北即時報導,https://udn.com/upf/2017_news/noimg_cid1001_9.jpg,AI 應用將逐步完善 集邦估2025年 AI NB 滲透率20.4%,https://money.udn.com/money/story/5612/8023314?from=edn_hottestlist_rank,2024-06-11 14:50
經濟日報 記者吳秉鍇／台南即時報導,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/11/realtime/29799081.jpg&s=Y&x=0&y=39&sw=5272&sh=3514&sl=W&fw=300&exp=3600,奇美實業獲 EcoVadis 永續評鑑最高榮譽「白金獎」肯定,https://money.udn.com/money/story/5612/8023199?from=edn_hottestlist_rank,2024-06-11 14:11
