src,title,url,date,pic_url
經濟日報 記者吳凱中／台北即時報導,研華推動多元、開放與標準化之 Edge AI 共生系統,https://money.udn.com/money/story/5612/7990265?from=edn_hottestlist_rank,2024-05-27 08:56,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/27/realtime/29717762.jpg&s=Y&x=100&y=0&sw=777&sh=519&sl=W&fw=300&exp=3600
經濟日報 王郁倫/台北即時報導,30分鐘音檔打造 AI 分身！ 宏正 COMPUTEX 秀台語合成器,https://money.udn.com/money/story/5612/7990261?from=edn_hottestlist_rank,2024-05-27 08:51,https://udn.com/upf/2017_news/noimg_cid1001_2.jpg
經濟日報 記者吳秉鍇／高雄即時報導,全球首座海水製氫原型機問世 中山大學突破量產綠氫關鍵技術,https://money.udn.com/money/story/5612/7990923?from=edn_hottestlist_rank,2024-05-27 12:56,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/27/realtime/29719287.jpg&s=Y&x=0&y=30&sw=4032&sh=2688&sl=W&fw=300&exp=3600
經濟日報 記者魏鑫陽／台北報導,材料董座王克璋專訪／他，排兵布陣 綜觀化工全局,https://money.udn.com/money/story/10871/7989731?from=edn_hottestlist_rank,2024-05-27 02:54,https://udn.com/upf/2017_news/noimg_cid1001_0.jpg
經濟日報 記者吳康瑋／台北即時報導,緯創股東會本周登場！董座林憲銘將現身、揭最新展望,https://money.udn.com/money/story/5612/7990946?from=edn_hottestlist_rank,2024-05-27 13:06,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/27/realtime/29719345.jpg&s=Y&x=0&y=8&sw=1170&sh=780&sl=W&fw=300&exp=3600
經濟日報 記者謝柏宏／即時報導,台灣醣聯與碩準生技簽技轉協議 發展新型醣質抗體藥物,https://money.udn.com/money/story/5612/7990305?from=edn_hottestlist_rank,2024-05-27 09:22,https://udn.com/upf/2017_news/noimg_cid1001_3.jpg
經濟日報 記者吳康瑋／台北即時報導,美超微「新解決方案」來了！創辦人親臨、街頭架看板 引市場關注,https://money.udn.com/money/story/5612/7990839?from=edn_hottestlist_rank,2024-05-27 12:25,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/27/realtime/29719165.jpeg&s=Y&x=0&y=30&sw=4032&sh=2688&sl=W&fw=300&exp=3600
經濟日報 記者吳康瑋／台北即時報導,緯創淨零目標獲 SBTi 認證 確立科學基礎減碳目標,https://money.udn.com/money/story/5612/7990847?from=edn_hottestlist_rank,2024-05-27 12:27,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/27/realtime/29719177.jpg&s=Y&x=0&y=26&sw=3476&sh=2316&sl=W&fw=300&exp=3600
經濟日報 記者吳凱中／台北即時報導,智崴股東會／穩固飛行劇院領導地位 進擊的巨人新片8月上映,https://money.udn.com/money/story/5612/7990512?from=edn_hottestlist_rank,2024-05-27 10:35,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/27/realtime/29718446.jpg&s=Y&x=0&y=17&sw=2364&sh=1576&sl=W&fw=300&exp=3600
經濟日報 記者蘇嘉維／台北即時報導,光罩股東會／第2季營收有望衝高 40奈米產品預計下半年量產,https://money.udn.com/money/story/5612/7990755?from=edn_hottestlist_rank,2024-05-27 11:56,https://udn.com/upf/2017_news/noimg_cid1001_4.jpg
經濟日報 記者彭慧明／即時報導,NCC 主委陳耀祥戴墨鏡扮阿伯、「追雞」呼籲體檢手機,https://money.udn.com/money/story/5612/7990821?from=edn_hottestlist_rank,2024-05-27 12:15,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/27/realtime/29719125.jpg&s=Y&x=0&y=22&sw=2251&sh=1500&sl=W&fw=300&exp=3600
經濟日報 記者嚴雅芳／台北即時報導,東森股東會／不受地緣政治影響 倉儲事業營運量維持穩定,https://money.udn.com/money/story/5612/7990751?from=edn_hottestlist_rank,2024-05-27 11:54,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/05/27/realtime/29718811.jpg&s=Y&x=0&y=11&sw=1477&sh=984&sl=W&fw=300&exp=3600
