date,url,pic_url,title,src
2024-06-07 15:39,https://money.udn.com/money/story/5612/8016962?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/07/realtime/29778441.jpg&s=Y&x=0&y=30&sw=4032&sh=2688&sl=W&fw=300&exp=3600,創業家股東會／新團隊短期目標 營運績效回穩、安定股東與員工,經濟日報 記者彭慧明／即時報導
2024-06-08 01:16,https://money.udn.com/money/story/5612/8017807?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/08/2/29780822.jpg&s=Y&x=0&y=520&sw=1280&sh=853&sl=W&fw=300&exp=3600,大立光：7月拉貨比6月好,經濟日報 記者劉芳妙／台北報導
2024-06-07 21:27,https://money.udn.com/money/story/5612/8009697?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/04/2/29760477.jpeg&s=Y&x=50&y=50&sw=480&sh=320&exp=3600,連台積電都搶推「員工體驗」，你一定要知道的企業徵才新顯學,經濟日報 遠見雜誌
2024-06-07 15:37,https://money.udn.com/money/story/5612/8016958?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/07/realtime/29778434.jpg&s=Y&x=124&y=0&sw=1446&sh=964&sl=W&fw=300&exp=3600,六角歡慶20周年 號召員工公益市集獻愛心,經濟日報 記者嚴雅芳／台北即時報導
2024-06-07 17:00,https://money.udn.com/money/story/5612/8017187?from=edn_hottestlist_rank,https://udn.com/upf/2017_news/noimg_cid1001_5.jpg,東捷資訊總座王智羣接任 搶攻商業 AI 市場,經濟日報 記者李泠秭／台北即時報導
2024-06-07 16:28,https://money.udn.com/money/story/5612/8017080?from=edn_hottestlist_rank,https://udn.com/upf/2017_news/noimg_cid1001_8.jpg,秀自主機器人戰果 威剛、新竹台大分院 AI 智慧醫療升級,經濟日報 記者蘇嘉維／台北即時報導
2024-06-07 17:59,https://money.udn.com/money/story/5612/8017348?from=edn_hottestlist_rank,https://udn.com/upf/2017_news/noimg_cid1001_7.jpg,華新科代子公司公告 公開收購日本上市公司雙信電機株式會社,經濟日報 記者李孟珊／台北即時報導
2024-06-07 18:55,https://money.udn.com/money/story/5612/8017455?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/07/realtime/29779818.jpeg&s=Y&x=0&y=31&sw=3021&sh=2014&sl=W&fw=300&exp=3600,燦坤攜手歐德打造首間 WanDau 策略合作門市開幕,經濟日報 記者李泠秭／台中即時報導
2024-06-07 22:18,https://money.udn.com/money/story/5612/8017697?from=edn_hottestlist_rank,https://udn.com/upf/2017_news/noimg_cid1001_3.jpg,威宏運動、輕奢品牌客戶加速拉貨 帶動產能滿載,經濟日報 記者宋健生/台中即時報導
2024-06-07 17:09,https://money.udn.com/money/story/5612/8017215?from=edn_hottestlist_rank,https://udn.com/upf/2017_news/noimg_cid1001_3.jpg,解決電動公車充電問題 運研所擬定四大優化策略,經濟日報 記者余弦妙／即時報導
